Invoice_id,Branch,City,Category,Unit_price,Quantity,Date,Time,Payment_method,Rating,Profit_margin,Total Sales
18,WALM061,Cedar Park,Sports and travel,72.61,6,2019-01-01,10:39:00,Credit card,6.9,33%,435.66
246,WALM021,McAllen,Home and lifestyle,47.59,8,2019-01-02,14:47:00,Cash,5.7,48%,380.72
451,WALM099,Weatherford,Electronic accessories,74.71,6,2019-01-03,19:07:00,Cash,6.7,18%,448.26
485,WALM003,San Antonio,Sports and travel,36.98,10,2019-01-04,19:48:00,Credit card,7,36%,369.8
497,WALM053,Conroe,Electronic accessories,63.22,2,2019-01-05,15:51:00,Cash,8.5,21%,126.44
524,WALM075,San Marcos,Health and beauty,62.87,2,2019-01-06,11:43:00,Cash,5,33%,125.74
568,WALM083,Farmers Branch,Fashion accessories,65.74,9,2019-01-07,13:55:00,Cash,7.7,33%,591.66
697,WALM040,Edinburg,Sports and travel,27.04,4,2019-01-08,20:26:00,Ewallet,6.9,48%,108.16
830,WALM011,Lubbock,Electronic accessories,74.22,10,2019-01-09,14:42:00,Credit card,4.3,48%,742.2
840,WALM085,Kerrville,Sports and travel,29.22,6,2019-01-10,11:40:00,Ewallet,5,33%,175.32
857,WALM049,North Richland Hills,Food and beverages,21.12,8,2019-01-11,19:31:00,Cash,6.3,48%,168.96
971,WALM096,Eagle Pass,Food and beverages,84.63,10,2019-01-12,11:36:00,Credit card,9,18%,846.3
89,WALM011,Lubbock,Sports and travel,42.47,1,2019-01-13,16:57:00,Cash,5.7,48%,42.47
301,WALM100,Canyon,Fashion accessories,99.82,2,2019-01-14,18:09:00,Credit card,6.7,18%,199.64
411,WALM011,Lubbock,Health and beauty,34.21,10,2019-01-15,13:00:00,Cash,5.1,48%,342.1
426,WALM048,Harlingen,Fashion accessories,40.61,9,2019-01-16,13:40:00,Cash,7,48%,365.49
452,WALM077,Coppell,Electronic accessories,22.01,6,2019-01-17,18:50:00,Cash,7.6,33%,132.06
559,WALM036,Allen,Food and beverages,41.66,6,2019-01-18,15:24:00,Ewallet,5.6,48%,249.96
745,WALM002,Dallas,Sports and travel,31.67,8,2019-01-19,16:19:00,Credit card,5.6,36%,253.36
838,WALM098,Mineral Wells,Sports and travel,44.63,6,2019-01-20,20:08:00,Credit card,5.1,18%,267.78
171,WALM031,Lewisville,Health and beauty,70.01,5,2019-01-21,11:36:00,Ewallet,5.5,48%,350.05
206,WALM085,Kerrville,Health and beauty,23.03,9,2019-01-22,12:02:00,Ewallet,7.9,33%,207.27
272,WALM027,Abilene,Health and beauty,21.12,2,2019-01-23,19:17:00,Cash,9.7,48%,42.24
375,WALM020,Killeen,Home and lifestyle,67.09,5,2019-01-24,16:47:00,Credit card,9.1,48%,335.45
542,WALM048,Harlingen,Health and beauty,75.88,1,2019-01-25,10:30:00,Credit card,7.1,48%,75.88
778,WALM096,Eagle Pass,Sports and travel,93.38,1,2019-01-26,13:07:00,Cash,9.6,33%,93.38
935,WALM006,El Paso,Home and lifestyle,63.15,6,2019-01-27,20:24:00,Ewallet,9.8,48%,378.9
988,WALM036,Allen,Health and beauty,62,8,2019-01-28,19:08:00,Credit card,6.2,48%,496
157,WALM042,Bryan,Electronic accessories,72.17,1,2019-01-29,19:40:00,Cash,6.1,48%,72.17
207,WALM034,College Station,Electronic accessories,66.65,9,2019-01-30,18:19:00,Credit card,9.7,48%,599.85
214,WALM093,Angleton,Sports and travel,46.42,3,2019-01-31,13:24:00,Credit card,4.4,33%,139.26
270,WALM001,Houston,Home and lifestyle,35.54,10,2019-02-01,13:34:00,Ewallet,7,36%,355.4
408,WALM051,New Braunfels,Fashion accessories,68.71,4,2019-02-02,19:01:00,Cash,4.1,48%,274.84
413,WALM005,Fort Worth,Health and beauty,20.97,5,2019-02-03,13:21:00,Cash,7.8,48%,104.85
1,WALM003,San Antonio,Health and beauty,74.69,7,2019-02-04,13:08:00,Ewallet,9.1,48%,522.83
107,WALM038,Sugar Land,Fashion accessories,27.38,6,2019-02-05,20:54:00,Credit card,7.9,48%,164.28
244,WALM034,College Station,Home and lifestyle,62.65,4,2019-02-06,11:25:00,Cash,4.2,48%,250.6
269,WALM001,Houston,Home and lifestyle,70.74,4,2019-02-07,16:05:00,Credit card,4.4,36%,282.96
377,WALM096,Eagle Pass,Home and lifestyle,35.38,9,2019-02-08,19:50:00,Credit card,9.6,33%,318.42
502,WALM006,El Paso,Fashion accessories,31.9,1,2019-02-09,12:40:00,Ewallet,9.1,48%,31.9
512,WALM007,Arlington,Home and lifestyle,42.91,5,2019-02-10,17:29:00,Ewallet,6.1,48%,214.55
537,WALM063,Georgetown,Fashion accessories,73.96,1,2019-02-11,11:32:00,Credit card,5,33%,73.96
545,WALM097,Alice,Food and beverages,71.2,1,2019-02-12,20:40:00,Credit card,9.2,18%,71.2
767,WALM056,Rowlett,Fashion accessories,76.06,3,2019-02-13,20:30:00,Credit card,9.8,33%,228.18
937,WALM081,Friendswood,Health and beauty,78.89,7,2019-02-14,19:48:00,Ewallet,7.5,33%,552.23
946,WALM097,Alice,Electronic accessories,93.88,7,2019-02-15,11:51:00,Credit card,7.3,18%,657.16
71,WALM007,Arlington,Food and beverages,89.48,10,2019-02-16,12:46:00,Credit card,9.6,48%,894.8
255,WALM016,Brownsville,Home and lifestyle,58.9,8,2019-02-17,11:23:00,Cash,8.9,48%,471.2
283,WALM097,Alice,Sports and travel,15.34,1,2019-02-18,11:09:00,Cash,6.5,18%,15.34
366,WALM079,La Porte,Fashion accessories,81.68,4,2019-02-19,12:12:00,Cash,9.1,33%,326.72
385,WALM039,Longview,Food and beverages,40.94,5,2019-02-20,13:58:00,Ewallet,9.9,48%,204.7
698,WALM079,La Porte,Home and lifestyle,62.19,4,2019-02-21,19:46:00,Ewallet,4.3,33%,248.76
704,WALM044,Pharr,Health and beauty,80.47,9,2019-02-22,11:18:00,Cash,9.2,48%,724.23
870,WALM035,San Angelo,Sports and travel,64.59,4,2019-02-23,13:35:00,Ewallet,9.3,48%,258.36
956,WALM077,Coppell,Fashion accessories,42.57,7,2019-02-24,11:51:00,Cash,6.8,33%,297.99
36,WALM095,Big Spring,Sports and travel,68.12,1,2019-02-25,12:28:00,Ewallet,6.8,33%,68.12
68,WALM029,Round Rock,Fashion accessories,97.61,6,2019-02-26,15:01:00,Ewallet,9.9,48%,585.66
249,WALM019,Pasadena,Electronic accessories,77.72,4,2019-02-27,16:11:00,Credit card,8.8,48%,310.88
273,WALM094,Alamo,Home and lifestyle,21.54,9,2019-02-28,11:44:00,Credit card,8.8,33%,193.86
276,WALM056,Rowlett,Fashion accessories,47.97,7,2019-03-01,20:52:00,Cash,6.2,33%,335.79
277,WALM027,Abilene,Home and lifestyle,21.82,10,2019-03-02,17:36:00,Cash,7.1,48%,218.2
356,WALM090,Brownwood,Food and beverages,89.14,4,2019-03-03,12:20:00,Credit card,7.8,33%,356.56
548,WALM093,Angleton,Sports and travel,60.95,9,2019-03-04,12:08:00,Credit card,6,33%,548.55
581,WALM044,Pharr,Food and beverages,27.22,3,2019-03-05,12:37:00,Cash,7.3,48%,81.66
128,WALM044,Pharr,Fashion accessories,31.73,9,2019-03-06,16:17:00,Credit card,5.9,48%,285.57
129,WALM035,San Angelo,Food and beverages,68.54,8,2019-03-07,15:57:00,Ewallet,8.5,48%,548.32
268,WALM081,Friendswood,Food and beverages,74.6,10,2019-03-08,20:55:00,Cash,9.5,33%,746
417,WALM035,San Angelo,Home and lifestyle,45.38,4,2019-03-09,13:48:00,Credit card,8.7,48%,181.52
444,WALM050,Victoria,Fashion accessories,12.78,1,2019-03-10,14:11:00,Ewallet,9.5,48%,12.78
483,WALM094,Alamo,Sports and travel,37.14,5,2019-03-11,13:05:00,Ewallet,5,33%,185.7
507,WALM019,Pasadena,Sports and travel,48.5,3,2019-03-12,12:50:00,Cash,6.7,48%,145.5
605,WALM096,Eagle Pass,Fashion accessories,51.89,7,2019-03-13,20:08:00,Cash,4.5,18%,363.23
686,WALM041,Mission,Home and lifestyle,49.1,2,2019-03-14,12:58:00,Ewallet,6.4,48%,98.2
687,WALM003,San Antonio,Sports and travel,64.83,2,2019-03-15,11:59:00,Credit card,8,36%,129.66
727,WALM067,Haltom City,Home and lifestyle,55.57,3,2019-03-16,11:42:00,Credit card,5.9,33%,166.71
747,WALM062,Galveston,Fashion accessories,65.23,10,2019-03-17,19:07:00,Credit card,5.2,33%,652.3
808,WALM025,Waco,Electronic accessories,50.23,4,2019-03-18,17:12:00,Cash,9,48%,200.92
849,WALM017,McKinney,Food and beverages,72.88,9,2019-03-19,19:38:00,Cash,4,48%,655.92
862,WALM068,Burleson,Sports and travel,12.76,2,2019-03-20,18:06:00,Ewallet,7.8,33%,25.52
865,WALM052,Mansfield,Electronic accessories,79.59,3,2019-03-21,14:30:00,Cash,6.6,57%,238.77
869,WALM051,New Braunfels,Food and beverages,24.31,3,2019-03-22,19:09:00,Credit card,4.3,48%,72.93
881,WALM023,Midland,Food and beverages,33.21,10,2019-03-23,14:25:00,Ewallet,6,48%,332.1
77,WALM058,Port Arthur,Fashion accessories,49.04,9,2019-03-24,14:20:00,Credit card,8.6,33%,441.36
358,WALM017,McKinney,Sports and travel,95.44,10,2019-03-25,13:45:00,Cash,5.2,48%,954.4
683,WALM082,Weslaco,Fashion accessories,49.32,6,2019-03-26,13:46:00,Cash,7.1,33%,295.92
833,WALM078,Del Rio,Sports and travel,11.85,8,2019-03-27,16:34:00,Cash,4.1,33%,94.8
837,WALM083,Farmers Branch,Fashion accessories,38.54,5,2019-03-28,13:34:00,Ewallet,5.6,33%,192.7
952,WALM039,Longview,Home and lifestyle,21.9,3,2019-03-29,18:43:00,Ewallet,4.7,48%,65.7
959,WALM093,Angleton,Home and lifestyle,15.8,10,2019-03-30,12:07:00,Cash,7.8,33%,158
985,WALM083,Farmers Branch,Electronic accessories,96.37,7,2019-03-31,11:40:00,Cash,6,33%,674.59
9,WALM066,Grapevine,Health and beauty,36.26,2,2019-04-01,17:15:00,Credit card,7.2,33%,72.52
33,WALM021,McAllen,Sports and travel,83.78,8,2019-04-02,14:49:00,Cash,5.1,48%,670.24
93,WALM040,Edinburg,Sports and travel,21.98,7,2019-04-03,16:42:00,Ewallet,5.1,48%,153.86
298,WALM085,Kerrville,Home and lifestyle,78.38,6,2019-04-04,14:16:00,Ewallet,5.8,33%,470.28
318,WALM091,Little Elm,Electronic accessories,74.79,5,2019-04-05,11:34:00,Cash,4.9,33%,373.95
569,WALM074,Weslaco,Fashion accessories,79.86,7,2019-04-06,10:33:00,Cash,5.5,33%,559.02
924,WALM068,Burleson,Sports and travel,83.14,7,2019-04-07,10:31:00,Credit card,6.6,33%,581.98
926,WALM002,Dallas,Electronic accessories,13.78,4,2019-04-08,11:10:00,Ewallet,9,36%,55.12
957,WALM042,Bryan,Food and beverages,50.49,9,2019-04-09,17:16:00,Cash,5.4,48%,454.41
226,WALM067,Haltom City,Sports and travel,87.16,2,2019-04-10,14:29:00,Credit card,9.7,33%,174.32
240,WALM085,Kerrville,Fashion accessories,89.69,1,2019-04-11,11:20:00,Ewallet,4.9,33%,89.69
241,WALM009,Plano,Food and beverages,24.94,9,2019-04-12,16:49:00,Credit card,5.6,48%,224.46
381,WALM047,Flower Mound,Sports and travel,82.33,4,2019-04-13,10:37:00,Credit card,7.5,48%,329.32
407,WALM009,Plano,Food and beverages,13.79,5,2019-04-14,19:07:00,Credit card,7.8,48%,68.95
680,WALM074,Weslaco,Food and beverages,48.5,6,2019-04-15,13:57:00,Cash,9.4,33%,291
724,WALM008,Corpus Christi,Food and beverages,36.77,7,2019-04-16,20:10:00,Cash,7.4,48%,257.39
758,WALM063,Georgetown,Home and lifestyle,96.52,6,2019-04-17,11:52:00,Cash,4.5,33%,579.12
78,WALM094,Alamo,Fashion accessories,20.01,9,2019-04-18,15:48:00,Credit card,5.7,33%,180.09
106,WALM055,Waxahachie,Electronic accessories,88.67,10,2019-04-19,14:50:00,Ewallet,7.3,33%,886.7
122,WALM069,Rockwall,Sports and travel,57.12,7,2019-04-20,12:02:00,Credit card,6.5,33%,399.84
419,WALM062,Galveston,Health and beauty,57.22,2,2019-04-21,17:13:00,Ewallet,8.3,33%,114.44
449,WALM063,Georgetown,Health and beauty,27.07,1,2019-04-22,20:07:00,Credit card,5.3,33%,27.07
547,WALM004,Austin,Fashion accessories,29.42,10,2019-04-23,16:23:00,Ewallet,8.9,48%,294.2
624,WALM032,Tyler,Fashion accessories,83.25,10,2019-04-24,11:25:00,Credit card,4.4,48%,832.5
700,WALM066,Grapevine,Home and lifestyle,97.5,10,2019-04-25,16:18:00,Ewallet,8,33%,975
739,WALM064,Bedford,Electronic accessories,91.56,8,2019-04-26,18:22:00,Ewallet,6,33%,732.48
801,WALM075,San Marcos,Sports and travel,23.01,6,2019-04-27,16:45:00,Ewallet,7.9,33%,138.06
864,WALM014,Amarillo,Home and lifestyle,51.07,7,2019-04-28,11:42:00,Cash,7,48%,357.49
76,WALM003,San Antonio,Electronic accessories,41.65,10,2019-04-29,17:04:00,Credit card,5.4,48%,416.5
